Sample,,Probe target info,Height,Area,Intra ratio,Pre ratio,Final ratio,Stdev,RefPop,SamPop,d(nt),Width
167D,[References (n=12)].[KCNJ6*],21-037.919589,2166,16476,0.9,0.95,0.89,0.17,Equal,Equal,-0.08,54
167E,[01p (n=5)].[DVL1-1],01-001.274237,1973,15339,1.34,1.99,1.39,0.76,Ambiguous,Ambiguous,-0.01,44
167E,[01p (n=5)].[PRDM16-3],01-003.150503,0,0,0,0,0,0,<<<,<<<,0,0
167E,[01p (n=5)].[CHD5-2],01-006.150830,0,0,0,0,0,0,<<<,<<<,0,0
167E,[01p (n=5)].[CAMTA1-18],01-007.727575,259,3128,0.51,0.3,0.54,0.27,Decreased1StdDevBelowArbitraryBorder,Ambiguous,-0.02,44
167E,[01p (n=5)].[KIF1B-2],01-010.214967,1868,14047,0.93,1.3,0.98,0.49,Equal,Equal,0.01,40
167E,[03p (n=4)].[VHL-1],03-010.158544,1134,11083,0.96,0.94,1.02,0.54,Equal,Equal,-0.01,48
167E,[03p (n=4)].[VHL-2],03-010.163233,295,3733,0.69,0.38,0.73,0.37,Equal,Equal,-0.01,57
167E,[03p (n=4)].[FHIT-7],03-059.972109,811,7901,1.03,0.96,1.08,0.54,Equal,Equal,-0.05,51
167E,[03p (n=4)].[FHIT-4],03-060.782680,325,3858,0.55,0.41,0.57,0.29,Decreased1StdDevBelowArbitraryBorder,Decreased1StdDevBelowArbitraryBorder,-0.11,60
167E,[05q (n=2)].[APC-12],05-112.182873,414,3972,0.61,0.55,0.64,0.32,Ambiguous,Ambiguous,0.02,38
167E,[05q (n=2)].[APC-18],05-112.206814,0,0,0,0,0,0,<<<,<<<,0,0
167E,[09p (n=3)].[CDKN2A-4],09-021.958641,1222,13261,0.76,0.92,0.81,0.43,Equal,Equal,-0.05,53
167E,[09p (n=3)].[CDKN2A-3],09-021.961213,869,6587,0.49,0.7,0.52,0.26,Decreased1StdDevBelowArbitraryBorder,Ambiguous,0.02,34
167E,[09p (n=3)].[CDKN2B-1],09-021.998809,0,0,0,0,0,0,<<<,<<<,0,0
